Country,Survey ,Year,MPI,Health,Education,Standard of living,Nutrition,Child mortality,Years of schooling,School attendance,Cooking fuel,Sanitation,Drinking water,Electricity,Housing,Assets
Morocco,PAPFAM,2017/2018,0.0266967,24.372698,46.82758,28.79972,20.98519816,3.387497631,30.99371092,15.83387349,3.927818335,4.98253156,7.248989194,2.173019879,8.002463791,2.464897042
Mozambique,DHS,2011,0.416955412,18.00480109,32.10700494,49.88819397,14.93634716,3.068453933,20.15164383,11.95536111,9.697827955,8.616068544,7.449805182,9.059347403,9.25447322,5.810671665
Myanmar,DHS,2015/2016,0.17584623,18.49535108,32.27775097,49.22690094,16.59457334,1.900776817,23.70670367,8.571047949,11.76957757,8.733064437,4.295357028,8.415899928,11.04181354,4.971185723
Namibia,DHS,2013,0.184734535,31.64484363,13.91758096,54.43757542,28.27161901,3.373224615,6.613671628,7.303909327,11.53624813,11.21313885,6.282197676,11.02389577,9.596163049,4.785931938
Nepal,MICS,2019,0.0743989,23.162128,33.874474,42.963385,20.91804398,2.244087863,26.07907491,7.795404425,12.14071958,4.867270862,1.984244351,4.109780938,12.15553428,7.70583881
Nicaragua,DHS,2011/2012,0.074494892,11.46014867,36.2343241,52.30552722,10.02117774,1.438970935,28.00206792,8.232256178,12.0880301,4.605696428,10.15926555,8.565790622,10.07611064,6.810633883
Niger,DHS,2012,0.601279812,21.44081512,36.72587257,41.83331231,16.1887206,5.252094522,20.66380286,16.06206971,8.348583703,7.830041274,5.555089787,7.627461944,8.214201031,4.257934573
Nigeria,DHS,2018,0.2543896,30.893616,28.22334,40.883037,22.14611159,8.74750606,12.75065461,15.47269181,9.936200066,7.87282455,5.520543098,6.996325575,7.166816986,3.390325655
North Macedonia,MICS,2018/2019,0.0014221,29.639254,52.60854,17.7522091,5.749533887,23.88972396,37.83229643,14.77623591,7.331686118,3.709568153,0.163776114,3.116959472,0,3.430219957
Pakistan,DHS,2017/2018,0.1982474,27.61868238,41.31446481,31.06685877,22.68287459,4.935805336,20.86597885,20.44848209,8.754906512,6.07742916,2.225903296,2.001487337,8.587397765,3.419735062
"Palestine, State of",MICS,2019/2020,0.0019801,62.90646,31.003803,6.0897337,41.76112324,21.14533856,3.654973255,27.3488311,0.941315836,2.664211653,0.683686622,0,1.458701407,0.34181833
Papua New Guinea,DHS,2016/2018,0.2632909,4.605415,30.05808,65.336499,,4.605415579,12.33971898,17.71835956,11.87163382,10.71892542,9.479659546,11.66049308,11.11896516,10.48682885
Paraguay,MICS,2016,0.01884858,14.27110136,38.94542456,46.78347707,11.54479332,2.726307367,25.62924833,13.31617468,12.45673487,11.11152028,5.472260377,3.122760799,10.78026239,3.839937587
Peru,ENDES,2019,0.0292211,15.715022,32.68156,51.603418,13.41836797,2.296651741,16.77262007,15.90894232,11.03406243,11.60229952,5.942377667,4.050893436,13.16419804,5.809586803
Philippines,DHS,2017,0.02424934,20.30709833,31.02112114,48.67177904,,20.30709763,20.249113,10.77200673,11.91506413,8.296496069,4.54318293,5.805999242,10.15789023,7.953150048
Rwanda,DHS,2019/2020,0.231002,18.97775,26.595274,54.426965,16.62939447,2.348359792,20.85938451,5.7358936,11.71876248,5.987514214,8.371433017,8.788019554,10.68694029,8.874298075
Saint Lucia,MICS,2012,0.00720186,69.47531104,7.52609745,22.99859524,69.47530868,,7.526096876,0,2.510363122,5.472324179,1.174665643,2.370179064,8.512287905,2.958774535
Samoa,MICS,2019/2020,0.0246005,36.895026,31.1771562,31.9278217,29.31631876,7.578705996,0.25177615,30.9253767,10.59075914,3.375197732,0.77413505,0.806541589,11.76081197,4.620376915
Sao Tome and Principe,MICS,2019,0.0479234,18.736701,36.61587,44.647426,15.97443407,2.762270934,24.65639345,11.9594793,10.78281588,12.69729059,3.885438928,8.147477778,0.527255985,8.607143085
Senegal,DHS,2019,0.262862,20.697698,48.44651,30.855791,17.00200367,3.695698086,20.62576544,27.82074029,9.932092833,6.099568298,3.323780484,5.45536728,4.76089035,1.284093276
Serbia,MICS,2019,0.0004331,30.937561,40.08834,28.974096,8.857861116,22.07969855,20.98112691,19.10721366,12.86439481,3.91275469,3.182645779,0.957198962,6.014094588,2.043010944
Seychelles,QLFS,2019,0.0029635,66.83312,32.1085,1.0583822,32.63643361,34.1966888,32.10849533,,,0.450493721,0,0,0,0.607888549
Sierra Leone,DHS,2019,0.2928993,22.969842,24.052561,52.977591,17.48418825,5.485652349,15.2985217,8.75404137,11.20805389,10.26427959,6.778087696,10.43153254,7.61725769,6.678384922
South Africa,DHS,2016,0.02489064,39.46487308,13.10580671,47.42931426,31.13054018,8.334333514,10.47188686,2.633920144,9.894555549,4.592363184,8.489878691,7.933487865,9.276731155,7.242302863
South Sudan,MICS,2010,0.58015746,13.98763061,39.56221938,46.45015001,10.36759096,3.620039327,19.19198724,20.37023148,8.754908656,8.276213236,5.621306994,8.577540575,8.691421906,6.52875963
Sri Lanka,SLDHS,2016,0.0111847,32.520077,24.442345,43.037576,30.268872,2.251207164,14.48840478,9.953945081,13.31804597,6.919851585,6.204872563,3.678778001,7.263319,5.652703859
Sudan,MICS,2014,0.2794396,21.06075585,29.15109992,49.78814125,17.74426883,3.31648667,16.10727673,13.0438241,8.71262765,9.157987516,7.11931419,8.470782558,10.3101819,6.017249856
Suriname,MICS,2018,0.0112325,20.367507,43.81999,35.812502,14.96957627,5.3979265,27.98476073,15.83523357,5.615941157,9.027855488,2.274794916,4.641720634,6.151174466,8.101016277
Tajikistan,DHS,2017,0.02900592,47.75847495,26.46513283,25.77639222,35.74552498,12.01295008,0.7079818,25.75715096,6.630343673,0.609059285,6.872931877,0.191215224,10.8762713,0.596570824
Tanzania (United Republic of),DHS,2015/2016,0.284179311,22.51205845,22.26204354,55.22589801,19.06818919,3.443869262,7.198072483,15.06397106,11.11953453,10.4794692,8.472944077,10.77975718,9.261556246,5.112636773
Thailand,MICS,2019,0.0021207,38.2638,45.07014,16.6660632,26.54494615,11.71885415,31.68428508,13.38585241,7.382949694,2.079922643,0.883860511,0.754351675,2.694156949,2.870820746
Timor-Leste,DHS,2016,0.22151424,29.29225876,23.14953797,47.55820327,26.61578483,2.676473929,11.94172945,11.20780853,11.77925444,8.147323346,4.781049556,4.903532395,10.49858388,7.448459652
Togo,MICS,2017,0.1796163,20.948507,28.12386,50.927631,16.38090609,4.567596505,17.68907637,10.43478258,11.57366367,11.11977361,6.961899858,9.184679723,7.671136298,4.416485305
Tonga,MICS,2019,0.0033362,38.21171,40.703246,21.0850439,15.19444026,23.01727235,6.720726319,33.98252197,4.271635033,2.13012164,0.888540163,0.954227695,11.73969591,1.100818668
Trinidad and Tobago,MICS,2011,0.00241792,45.49064338,34.02575552,20.48360109,17.78672115,27.70392399,22.42429841,11.60145725,0.240750308,1.881154683,1.823854266,5.389696792,7.263377871,3.884765289
Tunisia,MICS,2018,0.0028877,24.414882,61.56822,14.0169021,21.07369541,3.341181639,39.79053209,21.77768864,0.401711313,4.525200167,4.073344972,0.739115823,1.435355104,2.84217485
Turkmenistan,MICS,2019,0.0008492,82.40443,15.49705,2.098524,47.2648202,35.1396053,0,15.49705,,0,0,0,2.098524497,0
Tuvalu,MICS,2019/2020,0.0080846,36.454491,43.589743,19.9557682,28.65095931,7.80353092,1.783812547,41.80592787,3.270323003,4.496493256,0,0.594604182,10.40514054,1.189208365
Uganda,DHS,2016,0.281028478,23.97136661,21.57689322,54.45174018,20.79881541,3.172551196,13.38351586,8.193377352,11.23689037,9.957998988,8.288463381,9.929427645,9.8252893,5.213670496
Ukraine,MICS,2012,0.000840432,60.48323743,28.35921787,11.1575447,,60.48323743,18.19327483,10.16594304,4.396945908,1.948233762,1.529732584,0.287859563,0.966923156,2.027849732
Viet Nam,MICS,2020/2021,0.0077294,22.85792,40.74057,36.4015023,,22.85792047,27.86199473,12.87858513,10.4955362,9.39173506,3.290105386,0.709847378,8.456725596,4.057550054
Yemen,DHS,2013,0.245166461,28.95319015,30.414853,40.63195685,25.73368519,3.219504962,11.67268856,18.74216444,6.68879051,8.421055148,6.765625241,4.494174047,10.37804211,3.884269799
Zambia,DHS,2018,0.2316851,21.495154,25.03226,53.472586,18.48925018,3.005903885,8.63550971,16.39674844,11.4204302,9.044649103,6.858540946,10.66600089,9.648095417,5.834871231
Zimbabwe,MICS,2019,0.1099418,23.560119,17.271849,59.168033,18.69600651,4.864109032,5.368529062,11.90331982,12.72048871,10.81262438,10.01209952,9.778347757,8.26261824,7.581856972
